epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,14589.6,0.87654,1.36238,0.24286,0.66556,0.00892,0.424,0.88532,0.79026,0.88016,0.68676,0.87726,0.76051,0.78179,0.62547,0.88037,0.90575,0.30331,0.64016,0.01346,0,0.000203,0.000203,0.000203
26,15171.2,0.87349,1.34448,0.24128,0.66572,0.00887,0.40375,0.88376,0.79242,0.88023,0.68689,0.87723,0.76119,0.78199,0.62562,0.87936,0.90537,0.30314,0.63984,0.01344,0,0.000190625,0.000190625,0.000190625
27,15752.7,0.87371,1.35014,0.24289,0.6649,0.00886,0.40452,0.88169,0.79504,0.88144,0.68686,0.87521,0.76095,0.78107,0.62514,0.87846,0.90496,0.3028,0.6415,0.01342,0,0.00017825,0.00017825,0.00017825
28,16334,0.8739,1.34499,0.24219,0.66404,0.0089,0.40266,0.88242,0.79539,0.88127,0.687,0.8778,0.76024,0.78132,0.62544,0.8776,0.90264,0.30213,0.64096,0.0134,0,0.000165875,0.000165875,0.000165875
29,16915.4,0.86869,1.33324,0.24182,0.65906,0.00885,0.37814,0.88142,0.79531,0.8801,0.687,0.87813,0.7606,0.7815,0.62597,0.87704,0.90273,0.30201,0.64086,0.01339,0,0.0001535,0.0001535,0.0001535
30,17496.8,0.87009,1.34272,0.2408,0.66351,0.00886,0.41092,0.8783,0.79962,0.88164,0.68753,0.8809,0.75973,0.78187,0.62615,0.87719,0.9027,0.30208,0.6394,0.01339,0,0.000141125,0.000141125,0.000141125
31,18072.2,0.79325,0.95789,0.25374,0.51698,0.0095,0.53747,0.88087,0.79642,0.88193,0.68792,0.87916,0.75989,0.78162,0.6256,0.87727,0.90247,0.30171,0.63967,0.01338,0,0.00012875,0.00012875,0.00012875
32,18646.6,0.78792,0.93982,0.25153,0.5068,0.00939,0.48736,0.87851,0.79858,0.88233,0.68828,0.88151,0.75712,0.78155,0.62574,0.87668,0.90109,0.30127,0.63851,0.01336,0,0.000116375,0.000116375,0.000116375
33,19221.2,0.78522,0.93341,0.25084,0.50508,0.00933,0.4739,0.87801,0.79907,0.88274,0.68852,0.87925,0.76024,0.78209,0.62598,0.87679,0.90087,0.30074,0.63667,0.01337,0,0.000104,0.000104,0.000104
34,19795.9,0.78172,0.92287,0.2498,0.5026,0.00928,0.45859,0.87901,0.79872,0.8827,0.68823,0.87821,0.7604,0.78176,0.62595,0.87659,0.90183,0.30008,0.63632,0.01336,0,9.1625e-05,9.1625e-05,9.1625e-05
35,20370.6,0.78001,0.91658,0.25042,0.49936,0.00921,0.44257,0.87713,0.80108,0.88275,0.6884,0.87928,0.76026,0.78171,0.62572,0.87601,0.90047,0.29933,0.63613,0.01334,0,7.925e-05,7.925e-05,7.925e-05
36,20946.3,0.78077,0.91583,0.24962,0.49792,0.00924,0.43121,0.88097,0.79741,0.88286,0.68886,0.87862,0.76073,0.78169,0.6258,0.87561,0.90007,0.29845,0.63725,0.01333,0,6.6875e-05,6.6875e-05,6.6875e-05
37,21521.7,0.77957,0.91118,0.24888,0.49931,0.0092,0.41839,0.8816,0.79753,0.8832,0.68904,0.87947,0.76075,0.78179,0.62563,0.87506,0.89872,0.29825,0.63649,0.01332,0,5.45e-05,5.45e-05,5.45e-05
38,22097,0.7783,0.90984,0.2477,0.4958,0.00921,0.41141,0.88218,0.79634,0.8833,0.68922,0.87895,0.76222,0.78184,0.6256,0.87482,0.89784,0.29787,0.63586,0.01331,0,4.2125e-05,4.2125e-05,4.2125e-05
39,22672.7,0.77794,0.90513,0.24811,0.49627,0.00918,0.40672,0.88689,0.79332,0.88318,0.68925,0.8795,0.7627,0.78203,0.62545,0.87409,0.89686,0.29708,0.63601,0.01329,0,2.975e-05,2.975e-05,2.975e-05
40,23248.2,0.77695,0.90497,0.24855,0.49518,0.00916,0.3974,0.8854,0.79397,0.88329,0.68924,0.87998,0.76107,0.78198,0.62529,0.8738,0.89657,0.29736,0.63564,0.01328,0,1.7375e-05,1.7375e-05,1.7375e-05
