epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,11003.8,0.89161,1.35549,0.2458,0.68471,0.00915,0.57561,0.88645,0.79445,0.88525,0.68887,0.87849,0.76179,0.78276,0.62417,0.87604,0.90562,0.27011,0.6265,0.01335,0,0.000203,0.000203,0.000203
26,11442.2,0.88801,1.35033,0.24472,0.68291,0.00915,0.59319,0.88435,0.79504,0.88502,0.6892,0.87996,0.7581,0.782,0.62389,0.87373,0.90594,0.26988,0.62766,0.01328,0,0.000190625,0.000190625,0.000190625
27,11880.4,0.89074,1.34037,0.24469,0.68464,0.00911,0.54911,0.8872,0.79242,0.8855,0.68915,0.88093,0.75704,0.78213,0.62439,0.87407,0.90542,0.26938,0.6279,0.0133,0,0.00017825,0.00017825,0.00017825
28,12318.7,0.89089,1.34337,0.24338,0.68662,0.00916,0.55775,0.88751,0.79354,0.88602,0.68996,0.87616,0.76024,0.78195,0.62426,0.87475,0.90427,0.26878,0.62581,0.01332,0,0.000165875,0.000165875,0.000165875
29,12756.6,0.88525,1.3264,0.24329,0.68148,0.00909,0.53354,0.88857,0.79451,0.88671,0.68984,0.87564,0.76337,0.7822,0.62505,0.87445,0.90416,0.26852,0.62493,0.01333,0,0.0001535,0.0001535,0.0001535
30,13194.6,0.88714,1.3269,0.24311,0.68087,0.00904,0.54672,0.88648,0.79563,0.88695,0.69023,0.88214,0.75751,0.78248,0.62524,0.87343,0.90437,0.26824,0.62508,0.01331,0,0.000141125,0.000141125,0.000141125
31,13629.4,0.81248,0.94804,0.25634,0.53918,0.00973,0.69007,0.88178,0.80062,0.88705,0.69039,0.88354,0.75769,0.78232,0.62508,0.8737,0.90568,0.26815,0.6244,0.01331,0,0.00012875,0.00012875,0.00012875
32,14062.6,0.80862,0.93654,0.25451,0.52652,0.00965,0.64928,0.88476,0.79868,0.88721,0.69126,0.88119,0.76024,0.78262,0.62471,0.87429,0.90826,0.26766,0.62262,0.0133,0,0.000116375,0.000116375,0.000116375
33,14496.1,0.80339,0.92861,0.25414,0.52785,0.0096,0.62108,0.88491,0.79848,0.88709,0.69102,0.87865,0.76107,0.7826,0.6241,0.87382,0.91116,0.26649,0.62307,0.01329,0,0.000104,0.000104,0.000104
34,14929.1,0.80197,0.91248,0.25301,0.52291,0.00955,0.63032,0.88426,0.80019,0.88715,0.69099,0.87905,0.76123,0.78264,0.62389,0.87392,0.91188,0.2661,0.62179,0.0133,0,9.1625e-05,9.1625e-05,9.1625e-05
35,15362.2,0.80133,0.91488,0.25289,0.52088,0.0095,0.60066,0.88262,0.80184,0.887,0.69115,0.87935,0.76075,0.78251,0.62417,0.87368,0.91406,0.26591,0.6206,0.0133,0,7.925e-05,7.925e-05,7.925e-05
36,15795.6,0.7983,0.91235,0.25263,0.52268,0.00947,0.59785,0.88317,0.80077,0.88728,0.69133,0.88012,0.76048,0.78293,0.62425,0.87283,0.91354,0.26527,0.62051,0.01329,0,6.6875e-05,6.6875e-05,6.6875e-05
37,16229,0.7974,0.90961,0.25199,0.51788,0.00945,0.57645,0.8847,0.80145,0.88734,0.69127,0.88011,0.76214,0.7835,0.624,0.87335,0.91296,0.26489,0.6198,0.0133,0,5.45e-05,5.45e-05,5.45e-05
38,16662.4,0.79761,0.90651,0.25173,0.51806,0.00945,0.56771,0.88135,0.80272,0.88713,0.69139,0.87972,0.76179,0.78364,0.62401,0.87316,0.91423,0.26423,0.61967,0.0133,0,4.2125e-05,4.2125e-05,4.2125e-05
39,17095.7,0.79552,0.90219,0.25138,0.51755,0.00945,0.56043,0.88375,0.80097,0.88728,0.69142,0.87964,0.76297,0.78365,0.624,0.87282,0.91473,0.26405,0.6197,0.01329,0,2.975e-05,2.975e-05,2.975e-05
40,17529,0.79577,0.89868,0.25159,0.51626,0.00945,0.55254,0.88372,0.8005,0.88734,0.69134,0.87895,0.76119,0.78336,0.6236,0.87281,0.91498,0.26428,0.62021,0.0133,0,1.7375e-05,1.7375e-05,1.7375e-05
